,house_type,house_size,location,price,numBalconies,numBathrooms,SecurityDeposit,Status,category,numBedrooms,ratio_per_room,PricePerSqft
384,2 BHK Apartment ,670,Thane West,36000,,2.0,No Deposit,Furnished,apartment,2,18000.0,53.73134328358209
385,3 BHK Independent House ,2000,Thane West,55000,,5.0,No Deposit,Semi-Furnished,villa,3,18333.333333333332,27.5
386,2 BHK Apartment ,677,Thane West,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,39.881831610044316
387,4 BHK Independent House ,3500,Thane West,125000,,4.0,No Deposit,Furnished,villa,4,31250.0,35.714285714285715
388,2 BHK Apartment ,980,Titwala,7500,,2.0,No Deposit,Unfurnished,apartment,2,3750.0,7.653061224489796
389,1 RK Studio Apartment ,300,Andheri West,22000,,1.0,No Deposit,Semi-Furnished,studio,1,22000.0,73.33333333333333
390,2 BHK Apartment ,970,Bhandup West,37000,,2.0,No Deposit,Unfurnished,apartment,2,18500.0,38.144329896907216
391,1 BHK Apartment ,600,Marine Lines,60000,,2.0,No Deposit,Furnished,apartment,1,60000.0,100.0
392,2 BHK Apartment ,1210,Ulwe,15000,,2.0,No Deposit,Unfurnished,apartment,2,7500.0,12.396694214876034
393,2 BHK Apartment ,1198,Ulwe,17000,,2.0,No Deposit,Unfurnished,apartment,2,8500.0,14.190317195325543
394,2 BHK Apartment ,750,Andheri West,100000,,2.0,No Deposit,Furnished,apartment,2,50000.0,133.33333333333334
395,2 BHK Apartment ,850,Titwala,9500,,2.0,No Deposit,Semi-Furnished,apartment,2,4750.0,11.176470588235293
396,1 BHK Apartment ,425,Goregaon West,27000,,1.0,No Deposit,Unfurnished,apartment,1,27000.0,63.529411764705884
397,1 BHK Apartment ,480,Girgaon,50000,,1.0,No Deposit,Semi-Furnished,apartment,1,50000.0,104.16666666666667
398,1 BHK Apartment ,500,Girgaon,45000,,1.0,No Deposit,Semi-Furnished,apartment,1,45000.0,90.0
399,3 BHK Apartment ,1200,Ville Parle East,110000,,3.0,No Deposit,Unfurnished,apartment,3,36666.666666666664,91.66666666666667
400,1 BHK Apartment ,552,Chembur,35000,,1.0,No Deposit,Unfurnished,apartment,1,35000.0,63.405797101449274
401,2 BHK Apartment ,750,Mulund East,45000,,2.0,No Deposit,Unfurnished,apartment,2,22500.0,60.0
402,3 BHK Apartment ,1100,Mulund East,70000,,3.0,No Deposit,Unfurnished,apartment,3,23333.333333333332,63.63636363636363
403,3 BHK Apartment ,1200,Ville Parle East,135000,,3.0,No Deposit,Unfurnished,apartment,3,45000.0,112.5
404,1 BHK Apartment ,600,Mulund East,25000,,2.0,No Deposit,Semi-Furnished,apartment,1,25000.0,41.666666666666664
405,3 BHK Apartment ,1250,Thane West,47000,,3.0,No Deposit,Semi-Furnished,apartment,3,15666.666666666666,37.6
406,2 BHK Apartment ,1040,Hiranandani Estates,45000,,2.0,No Deposit,Semi-Furnished,apartment,2,22500.0,43.26923076923077
407,2 BHK Apartment ,1040,Thane West,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,25.96153846153846
408,2 BHK Apartment ,1200,Kharghar,35000,,2.0,No Deposit,Furnished,apartment,2,17500.0,29.166666666666668
409,3 BHK Apartment ,1200,Ville Parle East,100000,,3.0,No Deposit,Unfurnished,apartment,3,33333.333333333336,83.33333333333333
410,2 BHK Apartment ,1800,Kharghar,63000,,2.0,No Deposit,Furnished,apartment,2,31500.0,35.0
411,2 BHK Apartment ,850,Andheri West,110000,,2.0,No Deposit,Semi-Furnished,apartment,2,55000.0,129.41176470588235
412,1 BHK Apartment ,635,Andheri East,52000,,2.0,No Deposit,Semi-Furnished,apartment,1,52000.0,81.88976377952756
413,2 BHK Apartment ,1000,Sanpada,40000,,2.0,No Deposit,Unfurnished,apartment,2,20000.0,40.0
414,2 BHK Apartment ,1200,Nerul,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,22.5
415,2 BHK Apartment ,900,Kanjurmarg,49000,,1.0,No Deposit,Semi-Furnished,apartment,2,24500.0,54.44444444444444
